Number,count
1,5
51,5
59,5
58,5
57,5
56,5
55,5
54,5
52,5
50,5
61,5
49,5
48,5
47,5
46,5
2,5
44,5
42,5
60,5
62,5
40,5
74,5
85,5
82,5
81,5
80,5
79,5
77,5
76,5
73,5
63,5
71,5
70,5
69,5
68,5
66,5
65,5
64,5
41,5
45,5
39,5
22,5
20,5
19,5
18,5
38,5
16,5
15,5
14,5
13,5
11,5
10,5
7,5
6,5
5,5
4,5
3,5
21,5
17,5
23,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
37,5
35,5
34,5
24,5
9,4
43,4
83,4
78,4
33,4
12,4
67,4
75,3
32,3
36,3
84,3
53,3
86,3
87,3
8,1
72,1
88,1
